0
<code>;;;;;
1753884005318.5;1;0;1;Init;
1753884005321.2;72;0;0;Init;
1753884005326.0;73;0;HTTP server started on port: 0.0.0.0:8081;Init;
1753884005331.9;74;0;/home/luasm/ttylua;Init;
1753884005337.7;75;0;NotInitialized;Init;
1753884005345.3;76;0;PL2231A;Init;
1753884005351.4;77;0;PLD360;Init;
1753884005425.4;78;0;1.0;Init;
1753884005938.2;79;0;LoadVars sequence inserted;Init;
1753884005947.6;2;0;000.000.000.000;Init;
1753884005953.6;3;0;1753884005953.6;Init;
1753884005959.6;4;0;1753884005959.6;Init;
1753884005965.6;5;0;0;Init;
1753884005971.4;6;0;1753884005971.4;Init;
1753884005977.3;7;0;1753884005977.3;Init;
1753884005983.2;8;0;532nm;Init;
1753884005989.1;9;0;OFF;Init;
1753884005995.0;10;0;100;Init;
1753884006000.9;11;0;-95.55;Init;
1753884006006.8;12;0;-86.00;Init;
1753884006012.6;13;0;0;Init;
1753884006018.5;14;0;95.00;Init;
1753884006024.4;15;0;40;Init;
1753884006030.2;16;0;0;Init;
1753884006036.1;17;0;-96.00;Init;
1753884006042.0;18;0;-41.05;Init;
1753884006047.9;19;0;-95.55;Init;
1753884006053.8;20;0;49.25;Init;
1753884006059.6;21;0;39.00;Init;
1753884006065.6;22;0;-41.05;Init;
1753884006071.4;23;0;9000;Init;
1753884006077.3;24;0;1;Init;
1753884006083.2;25;0;2;Init;
1753884006088.9;26;0;3;Init;
1753884006094.8;27;0;4;Init;
1753884006100.6;28;0;0;Init;
1753884006106.5;29;0;0;Init;
1753884006112.3;30;0;0;Init;
1753884006118.1;31;0;0;Init;
1753884006124.0;32;0;-1;Init;
1753884006129.8;33;0;-1;Init;
1753884006135.8;34;0;-1;Init;
1753884006141.6;35;0;OFF;Init;
1753884006147.4;36;0;OFF;Init;
1753884006153.3;37;0;750;Init;
1753884006159.2;38;0;807;Init;
1753884006165.1;39;0;Internal;Init;
1753884006171.0;40;0;Continuous;Init;
1753884006176.8;41;0;1;Init;
1753884006182.7;42;0;1;Init;
1753884006188.5;43;0;50.0;Init;
1753884006194.4;44;0;1;Init;
1753884006200.3;45;0;0;Init;
1753884006206.2;46;0;0;Init;
1753884006212.1;47;0;88657;Init;
1753884006217.9;48;0;;Init;
1753884006223.8;49;0;0;Init;
1753884006229.6;50;0;0;Init;
1753884006235.5;51;0;150;Init;
